title,instructions,ingredients
Turmeric Fried Chicken Wings,"dry chicken wings
Dry cleaned chicken wings with kitchen towels.
Pierce chicken wings with holes using a fork.
Marinate overnight
Add salt, sugar, turmeric powder and egg to chicken wings, coat each well with marinade. Keep refrigerated to marinate for at least 5 hours or overnight. (Reminder: Marinate the wings longer for better taste.)
add cornstarch to marinated wings
Set aside the marinated wings at room temperature for 1 hour before frying. Add cornstarch to marinated wings, mix well.
deep-fry
Preheat about 600 g of cooking oil, turn to medium heat, deep-fry the wings for 7-8 minutes, until golden brown.
drain off oil
Turn to medium-high heat for 30-45 seconds before removing from oil. Put fried wings on strainer ladle to drain off the oil.","['8 chicken wings (cleaned)', '2 tbsps cornstarch', '1 tsp fine salt', '1 tbsp fine sugar', '4 tsps turmeric powder', '1 egg (grade A/size: L, lightly beaten)']"
Simple Chicken Rendang Recipe (Resepi Ayam Rendang Mudah),"Use 1 half-bird or 3 leg quarters chicken, about 1 kg, cut into small pieces, pat dry and marinate with ½ tsp salt for at least 1 hour, keep refrigerated if marinating period longer than an hour.
Use half of the 300g grated coconut for toasting. Toast 150g grated coconut in a dry non-stick pan/wok over medium heat until golden brown, keep stirring. The cooking should take about 10-12 minutes. Color of the toasted coconut will turn slightly deeper when cooled.
Blend the toasted coconut with a food processor, ground to fine or paste if you prefer. This can be made ahead and keep refrigerated.
Add the remaining 150g fresh grated coconut to a food processor, mix with 300g hot water (80°C-90°C), process until fine.
Pour the mixture onto a sieve, allow it to slightly cool down and squeeze out the coconut milk.
Cut, rinse, de-seed and drain dried chilies.
Combine and thoroughly mix tamarind paste with some water and set aside.
Cut 1 slices of Lengkuas (Alpinia galanga), 4 Kaffir lime leaves, slice 2 turmeric leaves thinly and slightly smash 2 stalks lemongrass with the back of a heavy knife to release the flavor.
Cut onion, shallot and garlic into small chunks, this will help the food processor doing the chopping more easily.
Add in dried chilies, Candlenut, onion, shallot and garlic, process until fine with a food processor/blender. Mix in ginger powder and turmeric powder. Oil helps with the blending process; add just enough to blend all the ingredients.
Shallow fry the chicken with 4 to 5 tablespoons of oil, turn over the chicken meat partway, cook for about 6-8 minutes. Set aside.
Pour chili paste into cooking pan, add in Lengkuas (Alpinia galanga, blue ginger) and lemongrass, cook with medium heat for about 6-8 minutes until fragrant and oil separate from chili paste. Add in chicken to stir fry.
Cook for 10 minutes on medium heat, stir occasionally to avoid burning. Add in Kaffir lime leaves, coconut milk, tamarind water and toasted coconut, cook for another 10 minutes to reduce the sauce.
Mix in palm sugar and salt, stir in sliced turmeric leaf and turn off the heat. Scoop out floating fat if desired, the sauce will continue to thicken when cooled.
Sauce will continue to thicken, the taste of the meat will be richer and color will be darker after completely cooled.","['300 g grated coconut (about 1 coconut)', '1 half-bird (or 3 leg quarters, about 1 kg)', '280 g oil', '50 g dried chili (cut, soak, de-seed and drain)', '10 g candlenut', '130 g onions (about 2 small)', '65 g shallot', '15 g garlic', '½ tsp ginger powder (or 20g fresh ginger)', '½ tsp turmeric powder (or 20g fresh turmeric)', '1 slice lengkuas (Alpinia galanga)', '2 stalks lemongrass', '4 Kaffir lime leaves', '2 turmeric leaves', '25 g Asam Jawa (Tamarind paste (soak with some water to extract the flavor))', '50 g palm sugar', '2 ½ tsp salt (use ½ tsp to marinate chicken)']"
Chinese Salt Baked Chicken Recipe,"clean & dry chicken
Wash and clean whole chicken legs (quarters), pull out any pin feathers that still cling to the skin, pat dry with a paper towel.
Season with salt
Season with about ¾ tsp of salt and place few slices of Angelica Sinensis (herbs) on each chicken leg.
Wrap chicken, marinate
Wrap the chicken with 3 layers of parchment paper(15 x 20 inch). Marinate for at least 1½ hours, keep refrigerated.
Heat coarse salt
Heat about 2 kg of coarse salt in a wok for about 6-8 minutes and stir occasionally.
cook chicken in hot salt
Place in the wrapped chicken, cover them with salt and bake on medium heat for 1 hour, turn over and bake for another 30 minutes or until fully cooked. Tips: Place more salt on the bottom to prevent charring the parchment paper. Do not use non-stick cookware.
Serve
Remove parchment paper and serve salt baked chicken warm. Can be kept frozen for 1-3 months or refrigerated for 3-5 days, reheat with microwave or steam them before serving.","['2 whole chicken legs (free-range chicken quarters, about 600g)', '¾ tsp salt', '6 g slices of Angelica Sinensis']"
Honey Bbq Chicken Wings With Air Fryer,"Dry chicken wings
Dry cleaned chicken wings with kitchen towels.
Pierce chicken wings with holes using a fork.
Marinate overnight
Add ground pepper, five spice powder, salt and sugar to chicken wings, coat each well with marinade. Keep refrigerated to marinate for at least 5 hours or overnight. (Reminder: Marinate the wings longer for better taste.)
Set aside at room temperature
Set aside the marinated chicken wings at room temperature for 30 minutes before baking.
Combine honey and butter, mix well.
bake at 180°C for 8 minutes
Line air fryer basket with non-stick baking paper. Arrange chicken wings in air fryer basket, put into air fryer, bake at 180°C for 8 minutes.
Coat with honey-butter, bake again
Coat chicken wings with honey-butter, then turn the wings over, coat the other side. Bake again at 180°C for 8 minutes.
Turn, bake at 180°C for 2 minutes
Turn the wings again, bake at 180°C for another 2 minutes.","['8 pcs chicken wings (cleaned)', '½ tsp ground pepper', '1½ tsps five spice powder', '¾ tsp fine salt', '2 tbsps fine sugar', '30 g honey', '20 g butter']"
Crispy Air Fryer Chicken Wings Recipe (Butter Garlic),"Wash, clean and dry chicken wings, cut into 2 sections, separate drumettes and flat with tips.
Mix in ½ tsp of salt, 15g melted butter, 2 cloves of crushed garlic, set aside to marinate for at least 15 minutes, keep refrigerated if more than an hour.
Mix 200g all-purpose flour with ½ tsp of baking powder, 1 tsp salt, 1 ½ tsp pepper and ½ tsp garlic powder, whisk and mix well.
Fully beat 1 egg with ½ tsp of oil. Mix egg mixture with marinated chicken wings.
Dredge wings with flour mixture.
Set aside on baking rack or tray for 15 minutes, do not overlap.
Prepared some oil for brushing in a separate small bowl.
Place chicken in air fryer, avoid overcrowding, allow some room for heated air to circulate around the chicken wings. Bake at 190°C (370°F) for 11 minutes.
Flip the wings halfway through, lightly coat white flour parts with some oil. Bake for another 11 minutes at 190°C (370°F).
Mess-free and non-greasy crispy air fryer fried chicken, serve hot.","['7 chicken wings (about 600g-900g)', '½ tsp salt', '15 g melted butter', '2 cloves of garlic (about 10g, crushed)', '1 egg', '½ tsp oil', '200 g all-purpose flour', '½ tsp baking powder', '1 tsp salt', '1½ tsp ground pepper', '½ tsp garlic powder']"
Lemongrass Fried Chicken Drumsticks,"Dry cleaned chicken drumsticks with kitchen towels.
Pierce chicken drumsticks with holes using a fork.
Combine lemongrass, curry leaf, garlic, shallot and onion in blender, add in 200 g of water, blend until fine. Add in ground pepper, curry powder, salt and sugar, blend until combined.
Pour half of marinade into zip lock bag, put in chicken drumsticks, pour in the remaining marinade, zip the bag, coat each drumstick well with marinade.
Keep refrigerated to marinate for at least 3 hours. (Reminder: I usually marinate it overnight for better taste.)
Transfer marinated chicken drumsticks to large pan (discard excess marinade), add in cornstarch, mix well.
Preheat 750 ml of cooking oil to 170°C/340°F, turn to medium heat. Put in chicken drumsticks, fry for about 11-12 minutes, until golden brown. (Reminder: If your drumstick is larger, then you need to increase the cooking time, adjust accordingly.)
Turn to medium-high heat for 1 minute before removing from oil.
Put fried chicken drumsticks on strainer ladle to drain off the oil.","['1 kg chicken drumsticks (about 8 pcs, each about 125 g, cleaned)', '4½ tbsps cornstarch', '6 stalks lemongrass', '1 sprig curry leaf', '15 g garlic', '20 g shallot', '40 g onion', '200 g water', '½ tsp ground pepper', '1 tsp curry powder', '2¾ tsps fine salt', '3½ tbsps fine sugar']"
Fried Red Bean Curd Chicken Wing (Nam Yue Chicken Wing),"Dry chicken wings
Dry cleaned chicken wings with kitchen towels.
Pierce chicken wings with holes using a fork.
coat with marinade
Put all ingredients for marinade in a zip-lock bag, mix well. Put in chicken wings, zip the bag, coat each well with marinade.
marinate for at least 3 hours
Keep refrigerated to marinate for at least 3 hours. (Reminder: You may marinate the wings longer for better taste.)
Add in rice flour & cornstarch
Add rice flour and cornstarch to marinated chicken wings, mix well.
deep-fry
Preheat cooking oil to 170°C/340°F, turn to medium-low heat. Put in chicken wings, fry for about 6-7 minutes, until golden brown. Turn to medium-high heat for about 45 seconds before removing from oil.
drain off oil
Put fried red bean curd chicken wing on strainer ladle to drain off the oil.","['8 chicken wings (cleaned)', '1 tbsp rice flour', '1 tbsp cornstarch', '40 g about 2 pieces red fermented bean curd', '1 clove garlic (minced) (7 g )', '1 bulb shallot (minced) (10 g )', '1 egg (size: M) (45 g)', '¼ tsp sesame oil', '1 tbsp fine sugar', '½ tsp fine salt']"
Chicken Curry With Coconut Milk,"Preheat 450 ml of cooking oil, fry potatoes until half-cooked, drain and set aside for later use.
Put onion, shallot, garlic, old ginger, galangal, lemongrass and cooking oil into blender, process until smooth.
Pour the mixture into cooking pot, add in curry powder and mix well.
Heat up curry paste over medium heat, then reduce to medium-low heat and cook until fragrant (about 5-6 minutes).
Add in chicken pieces, turn to medium heat, cook until the outer parts are cooked.
Add in potatoes, mix well.
Add in thin coconut milk (or plain water), mix well.
Add in star anise, green cardamom and curry leaf (optional: to enhance the flavour of curry).
Mix 2 tsps of water with asam paste, add in.
Bring to the boil, reduce to low heat, cover and cook for 25-30 minutes, until all ingredients are tender, stir 1-2 times in between cooking.
After 30 minutes, discard some chili oil using a strainer if you prefer a less oily curry.
Add in thick coconut milk, evaporated milk and salt, mix well.
Bring to the boil again, then OFF the heat.","['40 g onion', '40 g shallots', '15 g garlic', '15 g old ginger', '15 g galangal (lengkuas)', '1 stalk lemongrass', '120 ml cooking oil', '30 g meat curry powder', '1 tsp tamarind/asam paste (deseeded)', '2 tsps plain water', '1 sprig curry leaf', '2 pcs star anise (bunga lawang)', '3 pcs green cardamom (buah pelaga)', '850 g chicken (cut into pieces)', '450 g potatoes (cut into chunks)', '230 ml thin coconut milk (or water)', '130 ml thick coconut milk', '70 ml evaporated milk', '1¼ tsps salt']"
Singapore Noodles,"Cook noodles in large saucepan of boiling water, uncovered, until just tender; drain.
Meanwhile, heat 2 teaspoons of the oil in wok, add half of the combined eggs and water and swirl wok to make a thin omelette. Cook, uncovered, until omelette is just set; remove from wok, roll omelette and cut into thin strips. Heat another 2 teaspoons of oil and repeat process with the remaining egg mixture.
Heat remaining oil in wok, stir fry onion and garlic until onion softens; add curry paste, and stir fry until fragrant. Add minced pork and stir fry until changed in colour. Add bbq pork, prawns, spring onion, sauces, chile and half the omelette; stir fry until heated through. Add noodles; toss gently to combine and serve topped with remaining omelette.","['250 g dried thin egg noodles', '2 tablespoons peanut oil', '4 eggs, lightly beaten', '1 tablespoon water', '1 onion, finely chopped', '2 garlic cloves, crushed', '2 tablespoons mild curry paste', '200 g ground pork', '200 g Chinese barbecue pork (char sui)', '200 g cooked shelled small shrimp', '3 spring onions, chopped coarsely', '1/4 cup reduced sodium soy sauce', '2 tablespoons oyster sauce', '2 small red Thai chile, seeded and finely chopped']"
Spicy Sesame Fried Chicken Drumstick,"Finely chop fresh curry leaves.
Add chopped curry leaves, ½ tsp sugar, 1 tsp salt, ½ tsp pepper and ½ tsp chili powder, marinate for at least 15 minutes.
Mix 350g all-purpose flour with ¼ tsp baking powder, 1 ½ tsp salt, 3 tsp pepper, 3 tsp chili powder and 3 tsp sesame seed, whisk and make sure all ingredients is well distributed.
Crack and fully beat 2 eggs.
Dredge drumstick in flour mixture, fully coat chicken drumstick with flour, one at a time.
Dip drumstick in the egg and coat well.
Back to flour mixture to give another coat of flour, set aside for 10 minutes.
Heat 1 liter of oil to 160°C-170°C(320°F-340°F).
Medium-low heat(or 160°C), deep fried for about 10 mins until golden brown, set aside.
Raise oil temperature to 180°C, double fried for 1 minute.
Tip to non-greasy and crispy sesame fried chicken is to double-fried for 1 minute.","['6 pieces chicken drumsticks', '1 stem curry leaves', '½ tsp sugar', '1 tsp salt', '½ tsp pepper', '½ tsp chilli powder', '350 g all-purpose flour', '¼ tsp baking powder', '1½ tsp salt', '3 tsp pepper', '3 tsp chili powder', '3 tsp sesame seed', '2 eggs']"
Crispy Fried Chicken Tenders Recipe,"Cut chicken breast (boneless and skinless) into strips.
Marinate
Add in ½ tsp of salt, ½ tsp of pepper, ½ tsp of chili flakes, 1 Tbsp. of water and 2 cloves of pressed garlic. Marinate for 1 hour in the refrigerator.
add seasoning to flour
Mix 200 g all-purpose flour with ⅛ tsp baking powder, 1 tsp salt, 1 ½ tsp pepper and 1 ½ tsp chili flakes, whisk and mix well.
beat eggs
Crack 2 eggs, beat with fork until white and yolk are combined.
coat chicken strips with flour
Dredge chicken strips in flour mixture to fully coat each strip.
coat with egg
Dip chicken strips in the egg and coat well.
coat again with flour
Back to flour mixture to give another coat of flour and set aside for 10 minutes.
Deep-fry
Heat oil to 160°C-170°C (320°F-340°F). Deep-fry for about 4-5 minutes or until golden brown.
Serve
Cool on wire rack, serve immediately. Crispy on the outside, tender and juicy on the inside Fried Chicken Tenders.","['2 chicken breast (boneless, skinless; about 500g)', '½ tsp salt', '½ tsp Pepper', '½ tsp chili flakes (or chili powder)', '1 Tbsp. water', '2 cloves of garlic (pressed or finely minced)', '2 eggs', '200 g all-purpose flour', '⅛ tsp Baking powder', '1 tsp Salt', '1 ½ tsp pepper', '1 ½ tsp chili flakes (or chili powder; cayenne pepper for extra kick)']"
Perfect Crusted Crispy Fried Chicken Wings,"Cut and separate chicken wings into 2 sections, drumettes and flat with tips.
Add ½ tsp of salt and pepper and marinate for at least 15 minutes.
Mix 3 tsps pepper and 2 tsps salt, ¼ tsp baking powder with 2 ½ cups of all-purpose flour.
Mix well.
Crack and fully beat 2 eggs with fork.
Dredge wings in flour mixture, fully coat chicken wings with flour, one at a time.
Dip wings in the egg and coat well.
Back to flour mixture to give another coat of flour, set aside for 10 minutes.
Heat oil to 160-170 °C
Deep fried for about 10 mins.
Deep fried Until golden brown, set aside.
Raise oil temperature to 180 °C, double fried for 1 minutes.
The secret to amazingly crispy and crunchy crust is to double-fried. Perfect crust every time, work with other foods too.","['5 whole wings', '400 g all-purpose flour (2½ cups)', '2 eggs', '¼ tsp baking powder', '3½ tsp pepper', '2½ tsp salt']"
Nyonya Chicken Pongteh (Bean Paste Potatoes Nyonya Chicken Stew),"Preheat 400 ml of cooking oil, fry potatoes until half-cooked, drain off the oil.
Preheat 150 ml of cooking oil, turn to medium heat, add in garlic, shallot and onion, cook until fragrant.
Add in minced bean paste, continue cooking until fragrant.
Add in chicken pieces, cook until the outer parts are cooked.
Add in mushroom, continue cooking for 1 minute.
Add in potatoes and mix well.
Add oyster sauce, dark soy sauce and coconut palm sugar to mushroom soaking water, mix well then add in, bring to the boil.
Reduce to low heat, cover and cook for 30 minutes, until ingredients are tender, stirring 1-2 times in between cooking.
Off the heat, discard the excess oil using a strainer.
The Nyonya Chicken Pongteh is ready to be served!
It is best served with rice.","['350 g potatoes (cut into chunk)', '150 ml cooking oil', '50 g garlic (finely chopped)', '150 g shallot (finely chopped)', '60 g onion (finely chopped)', '40 g bean paste/taucu (minced)', '600 g chicken (cut into pieces)', '50 g mushroom (soaked, squeezed, cut into pieces)', '2 tbsps oyster sauce', '1 tbsp dark soy sauce', '1 tbsp coconut palm sugar (or sugar)', '250 ml mushroom soaking water (or plain water)']"
Crispy Oven-roasted Pork Recipe,"Wash and clean pork thoroughly under running water.
Immerse and gently cook in hot water, at a temperature slightly below boiling point for 30 minutes. This helps to get rid of pork offensive odor.
Use a knife to scrape and clean the skin.
Pat dry and season the meat with ground pepper, except the skin.
Pierce pork skin with meat tenderizer or fork, it helps the skin to crisp up.
Brush the pork skin with vinegar.
Wrap sides of the meat with aluminum foil with skin side up. Cover the skin side with generous amount of salt, bake in the preheated oven at 200°C (400°F) for 1 hour.
Remove aluminum foil and salt, then bake for another 40 minutes at 250°C/480°F to brown and turn the skin to crispy. Cooking time may vary depending on individual oven, adjust accordingly.
It is ready when the skin all bubbled up.
Place the pork crackling-side down, cut into strips and chunks.","['1 pork belly with skin', '½ tsp ground pepper', 'salt (cover whole pork skin )', '¼ cup vinegar', '½ tsp five spice powder (optional)']"
Five Spice Bak Kian (Minced Pork Rolls),"Combine ingredients for pork filling, marinate
Combine ingredients for pork filling in a mixing bowl, mix with hand for about 3 minutes until well blended. Set aside to marinate for 20 minutes.
Divide filling
Divide the filling into 10 equal portions.
wrap filling with beancurd skin
Put 1 portion of pork filling onto 1 piece of beancurd skin. Wrap the filling with beancurd skin. Brush the beancurd skin end with some water. Seal the pork roll properly.
cut into small pieces
Cut each pork roll into 5 small pieces.
Deep-fry
Preheat 600 ml of cooking to 160°C, turn to medium heat. Deep-fry the bak kian pieces until golden brown, stirring occasionally to distribute the heat evenly.
strain the oil
After removing from heat, put the fried bak kian on a strainer ladle to strain the oil.
absorb oil with kitchen towels
Transfer the bak kian to kitchen towels to absorb the oil.","['500 g minced pork', '100 g jicama (chopped)', '50 g carrot (chopped)', '20 g green onions (chopped)', '1 ½ tsps ground pepper', '¾ tsp fine salt', '2 tsps fine sugar', '1 ½ tsps five spice powder', '2 tsps cornstarch', '½ tsp sesame oil', '10 pcs unsalted beancurd skin (18 cm x 20 cm)']"
Steamed Pork Ribs with Taucu (Bean Paste Pork Ribs Recipe),"Dry pork ribs with kitchen towels, add in all ingredients and mix well.
Keep refrigerated to marinate for 1 hour.
Transfer marinated pork ribs to heat-resistant plate for steaming.
Bring water of steamer to the boil, steam over medium-high heat for 20 minutes.
Steamed pork ribs with black bean sauce (Taucu) is done.","['500 g pork ribs (cut into pieces)', '50 g minced taucu (black bean paste)', '2 red chilies (chopped)', '35 g garlic (chopped)', '2 tsps sugar', '1 tsp oyster sauce', '½ tbsp cornstarch']"
Making Char Siew (Chinese Bbq Pork) With Non-stick Pan,"Combine ingredients for marinade in a sauce pot, cook until sugar has dissolved. Set aside to cool completely. (Reminder: *Red yeast rice is available at Chinese Medicine shop. Grind red yeast rice into fine powder using dry mill grinder and sift through before using. Keep unused portion refrigerated for storage.)
Dry cleaned pork belly strips with kitchen towels.
Pierce pork belly strips with holes using a fork.
Add in Shao Hsing Hua Tiao wine, rub into pork strips. (Reminder: The purpose of adding wine is to remove the unpleasant smell of pork.)
Add in cooled marinade, coat each pork strip well with the marinade.
Keep refrigerated to marinate for at least 3 hours. (Reminder: Turn the pork in between marinating.)
Preheat 1 tbsp of cooking oil in non-stick frying pan, add in marinated pork strips, fry until outer layers are cooked. Add in the remaining marinade and 150 g of water, bring to the boil, then reduce to medium-low heat, cover and cook for 30 minutes.
After 30 minutes, turn the pork strips over, continue to cook over medium-low heat for another 30 minutes, or until the meat is tender.
Remove tender pork from pan, pour sauce into a bowl. Return pork to the pan, add in sauce gradually, fry over medium heat until lightly charred.
Remove Char Siew, drain off excess fat from pan. Pour remaining sauce into pan, cook over medium heat until slightly thickened. Serve Char Siew with the Char Siew sauce.
Cut char siew into pieces","['1 kg skinless pork belly (cut into thick strips, cleaned)', '2 tsps Shao Hsing Hua Tiao wine', '1 tbsp cooking oil', '150 g plain water', '135 g sugar', '2 tsps red yeast rice powder* (as natural red colouring)', '40 g oyster sauce (2 tbsps )', '25 g light soy sauce (4 tsps )', '2 tbsps plain water']"
Crispy Deep-fried Dried Anchovies (Ikan Bilis),"Rinse the cleaned anchovies 3 times to remove excess salt.
Dry thoroughly with kitchen towel.
Heat the cooking oil to 160ºC, add in anchovies, stir occasionally. (Reminder: Increase the amount of cooking oil if you have increased the amount of anchovies.)
When anchovies have turned golden-brown and amount of bubble has reduced, it is time to remove from heat.
Drain and cool the fried anchovies on an oil strainer, the crispy fried anchovies are ready to be served!","['100 g dried anchovies (heads & intestines removed)', '500 ml cooking oil']"
Sweet And Spicy Crispy Fried Anchovies,"Rinse anchovies, dry with kitchen towels. Preheat cooking oil to 160°C, add in anchovies and cook until golden brown, stirring occasionally. Drain and cool on an oil strainer.
Add sugar to soy sauce, mix well.
Preheat a cooking pan, add in some oil, add in onion and cook until soften.
Add in soy sauce mixture and chilli padi, cook until slightly thickened.
Add in the anchovies and mix well.","['100 g anchovies (cleaned)', '1 onion (sliced)', '2½ tbsps sugar', '2 tbsps light soy sauce', '2 chilli padi (bird’s eye chilli(seeded, cut))']"
Szechuan Chicken Skewers With Singapore Cole Slaw,"prep time does not include marinating time.
For the chicken.
In a large bowl, storage container or Ziploc bag combine all the marinade ingredients, add chicken and refrigerate for several hours or overnight.
Thread chicken onto water soaked wooden skewers or metal skewers. Reserve marinade.
To cook, either grill on BBQ or under the grill about 4-6 inches from heat for 8-10 Min's a side or until chicken is cooked through . Baste several times with reserved marinade.
For the Singapore slaw.
Combine lime juice, sugar, soy sauce, chili sauce, curry powder and honey in a jar, shake to combine. Place jar in fridge for several hours or overnight.
Combine both cabbages, carrots and peppers in a large bowl. Pour dressing over and toss. You may not need to use all the dressing (don't drown it).
To serve, place slaw on a plate and top with skewers.","['1 kg chicken breast, cut into 1 inch pieces', '3 tablespoons hoisin sauce (I use Blue Dragon brand, you can buy hoisin in most supermarkets or Asian grocery stores.)', '2 teaspoons ketchup', '2 garlic cloves', '2 teaspoons soy sauce', '1 1/2 teaspoons Chinese chili sauce', '1 tablespoon rice wine vinegar', '2 tablespoons sherry wine', '1 1/2 teaspoons sesame oil', '2 cups green cabbage, sliced thinly', '2 cups red cabbage, sliced thinly', '1 cup carrot, shredded', '1 small red pepper, sliced thinly', '3 tablespoons lime juice', '2 teaspoons sugar', '3 tablespoons soy sauce', '1 1/2 teaspoons chinese chile sauce with garlic', '3/4 tablespoon curry powder', '2 1/2 tablespoons honey']"
Asam Pedas Recipe (Nyonya Style),"Vietnamese cilantro (Persicaria odorata) or commonly known as Laksa leaf(Daun Kesum) in Malaysia and Singapore. This herb is often used in Southeast Asia cooking.
Trick for choosing younger Okra (ladies’ fingers) is to use your finger to feel the tip. Those with softer tips will be the youngest pods. Young okras are more tender with better texture. Add vegetables such as long bean, eggplant if you prefer.
Mix tamarind paste with some water and set aside.
Cut, rinse and drain dried chillies.
Combine shallot, garlic, onion, lemongrass, dried shrimp, turmeric powder and dried chillies in a blender, add in some water and process into paste, stir in between.
Add in 4 tbsps of cooking oil, heat paste over medium heat, continue stirring. Cook for 10-15 minutes until the oil separate out and the paste starts to have fragrance.
Add in fish, 800ml water, ladies’ fingers, tomato, sprig of laksa leaf. Bring to the boil again, reduce to low heat and cook for 8 minutes or until fish is fully cooked. Reduce amount of water if you prefer thicker gravy.
Add in salt, sugar, lime juice and juice from tamarind paste. Adjust sourness taste to your liking.
Turn off heat and let the asam pedas sit for 5 minutes before serving.","['400 g fish (Spanish Mackerel, Stingray, or Pomfret)', '6 okra (ladies’ fingers)', '2 tomatoes', '20 dried chillies (~ 25g)', '4 shallots (~ 35g)', '3 garlic cloves (~ 10g)', '1 onion (~ 55g)', '1 stalk lemongrass', '1 tbsp dried shrimp', '½ tsp turmeric powder (or 3-cm piece of fresh turmeric root)', '1 lime (Extract juice)', '3 tbsps Asam Jawa (Tamarind paste (soak in some water to extract the flavor))', '2 sprig Vietnamese cilantro (daun kesum, laksa leaf)', '4 tbsps cooking oil', '800 ml water', '1½ tsp salt (adjust to your liking)', '2 tsp sugar (adjust to your liking)']"
Sambal Hebi (Dried Shrimp Sambal),"Process soaked dried shrimp until fine (you may pound with mortar and pestle).
Blend together garlic and cooking oil until fine. Add dried chilies in 3 batches, blend until smooth. Add in red chili, blend until smooth. Add in shallot, blend until smooth.
Pour chili paste into non-stick cooking pan, bring to the boil. Reduce to medium heat, cook for 6-7 minutes until fragrant. Discard excess chili oil.
Add in sugar and salt, mix well. Add in dried shrimp, mix well.
Cook over medium heat for 11-12 minutes until fragrant.","['200 g dried shrimp (soaked & drained)', '220 ml cooking oil', '30 g garlic', '45 g dried chilies (seeded, rinsed & drained)', '65 g red chili (seeded)', '130 g shallot', '5½ tbsps fine sugar', '1 tsp fine salt']"
Spicy Sambal Squid (Sambal Sotong) Recipe,"Cut squid from the middle, remove internal organs.
Peel off the skin.
Wash and clean under running water, score the inner surface diagonally in a crisscross pattern, do not cut through the squid. Cut into small pieces.
Cut into small pieces.
Bring a pot of water to boil, add in ½ tsp salt, blanch squid for 1 ½ minutes.
Drain and add in ¼ tsp salt and ¼ tsp sugar, set aside to marinate.
Add in 70g fresh chili (de-seed), 30g dried chili (de-seed), 1 onion, 30g shallot, 15g garlic, 15g dried shrimp, 130g-150g cooking oil into food processor. Process until fine, oil helps with the blending process; add just enough to blend all the ingredients. Stir with spatula in between blending when necessary.
Add 1 tsp of oil, pour chili paste into cooking pan, bring to the boil. Reduce to medium heat, cook for 8-10 minutes until fragrant.
Add in sliced onion, cook until slightly tender, add in squid, and cook for 2 minutes, season sambal sotong with 2 Tbsp. sugar and 1 ½ tsp salt. You may discard excess chili oil, if you put too much during the blending process, you may end up with more oil that you don’t really need.","['500 g fresh squid', '70 g fresh red chilli', '30 g dried chilli', '2 onions (about 200g)', '30 g shallot', '15 g garlic', '15 g dried shrimp', '2 tbsps sugar (30g)', '1½ tsp salt (10g)', '140 g cooking oil']"
Spicy Canned Sardine Recipe (Sweet n Sour),"rinse dried chilies & tamarind
Cut dried chilies and soak with warm water until soften, remove as many seeds as possible. Rinse dried slices of tamarind, set aside.
cut lemongrass
Cut off the root and leaf of lemongrass, divide the stalk into 2-3 sections depending on the length of your lemongrass. Smash with the back of a heavy knife to release the zesty lemongrass flavor.
cut ladies’ finger
Wash and clean ladies’ finger (okra) and eggplant, cut into sections. Other vegetables such as tomato, long beans, etc. can be added.
Cut eggplant into sections
Cut onion
Cut the onion in half lengthwise, slice away both ends and remove the skin. Wash the onion and cut into wedges, then separate the layers.
stir fry ingredients until half cooked
Heat 1½ tablespoon of oil, add in the onion and stir fry until half cooked or half softened. Add in dried chilies and lemongrass, stir fry for half minute on medium heat.
add canned sardine, veggies & water, simmer
Pour in 1 canned sardine (425g), 350g water, 3 slices of dry tamarind, 3 okras (ladies’ fingers), ½ eggplant, ½ teaspoon turmeric powder, ½ teaspoon black pepper, 1 teaspoon white vinegar. Bring it to the boil and simmer for 8 minutes.
season with salt & sugar
Season with 1 tablespoon of sugar and ½ teaspoon of salt before serving.","['425 g canned sardine in tomato sauce (1 can)', '5 g dried chillies (5 pieces )', '3 slices Dried Sliced Tamarind (Garcinia atroviridis)', '1 stalk lemongrass', '3 okra (ladies’ fingers)', '½ eggplant', '1 onion', '1½ tbsp oil', '½ tsp turmeric powder', '½ tsp black pepper', '1 tsp white vinegar', '1 Tbsp sugar', '½ tsp salt', '350 g water']"
Simple Delicious Nasi Lemak (Coconut Milk Rice),"Combine all ingredients in rice cooker and mix well.
Select ” White Rice” setting.
Fluff
When the coconut milk rice is cooked, let it sits for 30 minutes before serving for best texture (the rice is still wet when it is just cooked). Fluff the cooked rice.
Serve the fragrant coconut milk rice with deep-fried anchovies, hard boiled eggs, cucumber and sambal chili sauce-Simply Delicious.","['300 g white rice (rinsed & drained)', '560 ml thin coconut milk (60 ml thick coconut milk + 500 ml water)', '½ tsp salt', '25 g old ginger (smashed)', '3 leaves Pandan leaves']"
